snapshot_date,snapshot_utc,instrument_name,expiry_code,maturity_date,strike,option_type,underlying_price,bid_price,ask_price,mid_price,mark_price,mark_iv,open_interest,volume_24h,time_to_expiry_years,creation_timestamp
2026-05-30,2026-05-30 04:18:07.686338+00:00,BTC-31MAY26-65000-P,31MAY26,2026-05-31 00:00:00+00:00,65000.00000000,put,73320.56000000,,0.00010000,,0.00001328,0.70900000,4.90000000,0.80000000,0.00224708,1780114685125
2026-05-30,2026-05-30 04:18:07.686338+00:00,BTC-31MAY26-66000-P,31MAY26,2026-05-31 00:00:00+00:00,66000.00000000,put,73320.56000000,,0.00010000,,0.00001758,0.64170000,7.30000000,3.10000000,0.00224708,1780114685131
2026-05-30,2026-05-30 04:18:07.686338+00:00,BTC-31MAY26-67000-P,31MAY26,2026-05-31 00:00:00+00:00,67000.00000000,put,73320.56000000,,0.00010000,,0.00001273,0.54140000,12.40000000,1.40000000,0.00224708,1780114685127
2026-05-30,2026-05-30 04:18:07.686338+00:00,BTC-31MAY26-68000-P,31MAY26,2026-05-31 00:00:00+00:00,68000.00000000,put,73320.56000000,,0.00010000,,0.00003917,0.51300000,8.30000000,4.70000000,0.00224708,1780114685127
2026-05-30,2026-05-30 04:18:07.686338+00:00,BTC-31MAY26-69000-P,31MAY26,2026-05-31 00:00:00+00:00,69000.00000000,put,73320.56000000,,0.00020000,,0.00004990,0.43480000,41.50000000,30.90000000,0.00224708,1780114685124
2026-05-30,2026-05-30 04:18:07.686338+00:00,BTC-31MAY26-70000-P,31MAY26,2026-05-31 00:00:00+00:00,70000.00000000,put,73320.56000000,,0.00020000,,0.00014975,0.39670000,56.20000000,54.90000000,0.00224708,1780114685127
2026-05-30,2026-05-30 04:18:07.686338+00:00,BTC-31MAY26-72000-C,31MAY26,2026-05-31 00:00:00+00:00,72000.00000000,call,73320.56000000,0.01750000,0.01950000,0.01850000,0.01852064,0.23390000,50.30000000,100.20000000,0.00224708,1780114685131
2026-05-30,2026-05-30 04:18:07.686338+00:00,BTC-31MAY26-72500-C,31MAY26,2026-05-31 00:00:00+00:00,72500.00000000,call,73320.56000000,0.01050000,0.01350000,0.01200000,0.01207690,0.19580000,11.90000000,6.20000000,0.00224708,1780114685130
2026-05-30,2026-05-30 04:18:07.686338+00:00,BTC-31MAY26-73000-C,31MAY26,2026-05-31 00:00:00+00:00,73000.00000000,call,73320.56000000,0.00550000,0.00700000,0.00625000,0.00631658,0.16620000,76.70000000,63.10000000,0.00224708,1780114685124
2026-05-30,2026-05-30 04:18:07.686338+00:00,BTC-31MAY26-73000-P,31MAY26,2026-05-31 00:00:00+00:00,73000.00000000,put,73320.56000000,0.00160000,0.00210000,0.00185000,0.00193117,0.16620000,123.30000000,146.80000000,0.00224708,1780114685124
