snapshot_date,snapshot_utc,instrument_name,expiry_code,maturity_date,strike,option_type,underlying_price,bid_price,ask_price,mid_price,mark_price,mark_iv,open_interest,volume_24h,time_to_expiry_years,creation_timestamp
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-65000-P,1JUN26,2026-06-01 00:00:00+00:00,65000.00000000,put,74102.06000000,,0.00010000,,0.00000087,0.63700000,12.20000000,0.00000000,0.00218170,1780203149462
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-66000-P,1JUN26,2026-06-01 00:00:00+00:00,66000.00000000,put,74102.06000000,,0.00010000,,0.00000482,0.63690000,20.80000000,0.00000000,0.00218170,1780203149455
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-67000-P,1JUN26,2026-06-01 00:00:00+00:00,67000.00000000,put,74102.06000000,,0.00010000,,0.00001664,0.62040000,10.90000000,10.00000000,0.00218170,1780203149461
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-68000-P,1JUN26,2026-06-01 00:00:00+00:00,68000.00000000,put,74102.06000000,,0.00010000,,0.00002814,0.56420000,48.60000000,1.10000000,0.00218170,1780203149462
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-69000-P,1JUN26,2026-06-01 00:00:00+00:00,69000.00000000,put,74102.06000000,,0.00010000,,0.00007469,0.53150000,54.80000000,28.40000000,0.00218170,1780203149459
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-70000-P,1JUN26,2026-06-01 00:00:00+00:00,70000.00000000,put,74102.06000000,,0.00020000,,0.00007175,0.43370000,78.20000000,10.90000000,0.00218170,1780203149456
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-70500-P,1JUN26,2026-06-01 00:00:00+00:00,70500.00000000,put,74102.06000000,,0.00010000,,0.00007292,0.38660000,86.10000000,73.30000000,0.00218170,1780203149459
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-71500-C,1JUN26,2026-06-01 00:00:00+00:00,71500.00000000,call,74102.06000000,0.03350000,0.03700000,0.03525000,0.03542277,0.35630000,25.00000000,0.00000000,0.00218170,1780203149460
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-72000-C,1JUN26,2026-06-01 00:00:00+00:00,72000.00000000,call,74102.06000000,0.02700000,0.03050000,0.02875000,0.02884401,0.32850000,9.20000000,0.00000000,0.00218170,1780203149462
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-72000-P,1JUN26,2026-06-01 00:00:00+00:00,72000.00000000,put,74102.06000000,0.00040000,0.00050000,0.00045000,0.00044328,0.32850000,36.80000000,29.10000000,0.00218170,1780203149460
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-72500-C,1JUN26,2026-06-01 00:00:00+00:00,72500.00000000,call,74102.06000000,0.02050000,0.02400000,0.02225000,0.02241093,0.30250000,6.60000000,0.00000000,0.00218170,1780203149459
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-72500-P,1JUN26,2026-06-01 00:00:00+00:00,72500.00000000,put,74102.06000000,0.00070000,0.00080000,0.00075000,0.00075742,0.30250000,45.50000000,55.70000000,0.00218170,1780203149459
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-73000-C,1JUN26,2026-06-01 00:00:00+00:00,73000.00000000,call,74102.06000000,0.01400000,0.01750000,0.01575000,0.01636809,0.28590000,85.40000000,0.00000000,0.00218170,1780203149460
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-73000-P,1JUN26,2026-06-01 00:00:00+00:00,73000.00000000,put,74102.06000000,0.00140000,0.00160000,0.00150000,0.00146180,0.28590000,80.40000000,9.50000000,0.00218170,1780203149455
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-73500-C,1JUN26,2026-06-01 00:00:00+00:00,73500.00000000,call,74102.06000000,0.00850000,0.01200000,0.01025000,0.01087839,0.26800000,63.00000000,7.00000000,0.00218170,1780203149461
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-73500-P,1JUN26,2026-06-01 00:00:00+00:00,73500.00000000,put,74102.06000000,0.00260000,0.00290000,0.00275000,0.00271932,0.26800000,91.00000000,4.80000000,0.00218170,1780203149459
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-74000-C,1JUN26,2026-06-01 00:00:00+00:00,74000.00000000,call,74102.06000000,0.00600000,0.00700000,0.00650000,0.00648932,0.25940000,78.80000000,27.30000000,0.00218170,1780203149458
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-74000-P,1JUN26,2026-06-01 00:00:00+00:00,74000.00000000,put,74102.06000000,0.00480000,0.00550000,0.00515000,0.00507746,0.25940000,13.60000000,3.00000000,0.00218170,1780203149460
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-74500-C,1JUN26,2026-06-01 00:00:00+00:00,74500.00000000,call,74102.06000000,0.00310000,0.00350000,0.00330000,0.00335594,0.25270000,223.10000000,100.10000000,0.00218170,1780203149458
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-74500-P,1JUN26,2026-06-01 00:00:00+00:00,74500.00000000,put,74102.06000000,0.00800000,0.00900000,0.00850000,0.00869130,0.25270000,1.80000000,0.20000000,0.00218170,1780203149461
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-75000-C,1JUN26,2026-06-01 00:00:00+00:00,75000.00000000,call,74102.06000000,0.00140000,0.00180000,0.00160000,0.00162281,0.25770000,901.00000000,90.80000000,0.00218170,1780203149455
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-75500-C,1JUN26,2026-06-01 00:00:00+00:00,75500.00000000,call,74102.06000000,0.00060000,0.00070000,0.00065000,0.00071492,0.26350000,77.60000000,71.40000000,0.00218170,1780203149458
2026-05-31,2026-05-31 04:52:30.803550+00:00,BTC-1JUN26-77000-C,1JUN26,2026-06-01 00:00:00+00:00,77000.00000000,call,74102.06000000,,0.00020000,,0.00007541,0.30710000,773.10000000,46.90000000,0.00218170,1780203149457
