snapshot_date,snapshot_utc,instrument_name,expiry_code,maturity_date,strike,option_type,underlying_price,bid_price,ask_price,mid_price,mark_price,mark_iv,open_interest,volume_24h,time_to_expiry_years,creation_timestamp
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-68000-P,23MAY26,2026-05-23 00:00:00+00:00,68000.00000000,put,77614.27000000,,0.00010000,,0.00000020,0.59000000,15.20000000,1.00000000,0.00219538,1779425122047
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-69000-P,23MAY26,2026-05-23 00:00:00+00:00,69000.00000000,put,77614.27000000,,0.00010000,,0.00000120,0.58600000,0.10000000,0.00000000,0.00219538,1779425122046
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-70000-P,23MAY26,2026-05-23 00:00:00+00:00,70000.00000000,put,77614.27000000,,0.00010000,,0.00000376,0.56100000,13.30000000,5.10000000,0.00219538,1779425122048
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-71000-P,23MAY26,2026-05-23 00:00:00+00:00,71000.00000000,put,77614.27000000,,0.00010000,,0.00000512,0.50080000,23.20000000,2.20000000,0.00219538,1779425122049
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-72000-P,23MAY26,2026-05-23 00:00:00+00:00,72000.00000000,put,77614.27000000,,0.00010000,,0.00001157,0.45810000,30.90000000,5.10000000,0.00219538,1779425122047
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-73000-P,23MAY26,2026-05-23 00:00:00+00:00,73000.00000000,put,77614.27000000,,0.00020000,,0.00006269,0.45420000,86.40000000,27.50000000,0.00219538,1779425122042
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-74500-P,23MAY26,2026-05-23 00:00:00+00:00,74500.00000000,put,77614.27000000,0.00020000,0.00030000,0.00025000,0.00026066,0.39420000,42.10000000,39.70000000,0.00219538,1779425122042
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-75000-P,23MAY26,2026-05-23 00:00:00+00:00,75000.00000000,put,77614.27000000,0.00030000,0.00040000,0.00035000,0.00036322,0.36190000,47.50000000,30.10000000,0.00219538,1779425122042
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-75500-P,23MAY26,2026-05-23 00:00:00+00:00,75500.00000000,put,77614.27000000,0.00050000,0.00070000,0.00060000,0.00056646,0.33530000,47.50000000,30.20000000,0.00219538,1779425122047
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-76000-C,23MAY26,2026-05-23 00:00:00+00:00,76000.00000000,call,77614.27000000,0.02050000,0.02350000,0.02200000,0.02178840,0.31180000,29.10000000,137.20000000,0.00219538,1779425122039
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-76000-P,23MAY26,2026-05-23 00:00:00+00:00,76000.00000000,put,77614.27000000,0.00080000,0.00110000,0.00095000,0.00094367,0.31180000,23.40000000,23.10000000,0.00219538,1779425122047
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-76500-C,23MAY26,2026-05-23 00:00:00+00:00,76500.00000000,call,77614.27000000,0.01400000,0.01950000,0.01675000,0.01611101,0.29580000,1.00000000,0.00000000,0.00219538,1779425122043
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-76500-P,23MAY26,2026-05-23 00:00:00+00:00,76500.00000000,put,77614.27000000,0.00150000,0.00190000,0.00170000,0.00170808,0.29580000,28.40000000,8.50000000,0.00219538,1779425122042
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-77000-C,23MAY26,2026-05-23 00:00:00+00:00,77000.00000000,call,77614.27000000,0.01050000,0.01200000,0.01125000,0.01108554,0.28530000,64.10000000,61.30000000,0.00219538,1779425122044
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-77000-P,23MAY26,2026-05-23 00:00:00+00:00,77000.00000000,put,77614.27000000,0.00290000,0.00330000,0.00310000,0.00312443,0.28530000,13.80000000,12.00000000,0.00219538,1779425122048
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-77500-C,23MAY26,2026-05-23 00:00:00+00:00,77500.00000000,call,77614.27000000,0.00650000,0.00750000,0.00700000,0.00698699,0.27880000,34.50000000,11.90000000,0.00219538,1779425122044
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-77500-P,23MAY26,2026-05-23 00:00:00+00:00,77500.00000000,put,77614.27000000,0.00500000,0.00550000,0.00525000,0.00546769,0.27880000,37.90000000,26.70000000,0.00219538,1779425122044
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-78000-C,23MAY26,2026-05-23 00:00:00+00:00,78000.00000000,call,77614.27000000,0.00370000,0.00410000,0.00390000,0.00381710,0.26710000,635.40000000,330.10000000,0.00219538,1779425122046
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-78000-P,23MAY26,2026-05-23 00:00:00+00:00,78000.00000000,put,77614.27000000,0.00800000,0.00950000,0.00875000,0.00873961,0.26710000,235.90000000,250.50000000,0.00219538,1779425122047
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-78500-C,23MAY26,2026-05-23 00:00:00+00:00,78500.00000000,call,77614.27000000,0.00170000,0.00200000,0.00185000,0.00182613,0.26050000,38.00000000,34.30000000,0.00219538,1779425122048
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-78500-P,23MAY26,2026-05-23 00:00:00+00:00,78500.00000000,put,77614.27000000,0.01000000,0.01450000,0.01225000,0.01319045,0.26050000,1.60000000,0.00000000,0.00219538,1779425122043
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-79000-C,23MAY26,2026-05-23 00:00:00+00:00,79000.00000000,call,77614.27000000,0.00080000,0.00100000,0.00090000,0.00086442,0.26660000,33.00000000,11.40000000,0.00219538,1779425122047
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-79000-P,23MAY26,2026-05-23 00:00:00+00:00,79000.00000000,put,77614.27000000,0.01550000,0.02050000,0.01800000,0.01867055,0.26660000,0.20000000,0.20000000,0.00219538,1779425122048
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-79500-C,23MAY26,2026-05-23 00:00:00+00:00,79500.00000000,call,77614.27000000,0.00040000,0.00050000,0.00045000,0.00040664,0.27680000,32.60000000,20.70000000,0.00219538,1779425122045
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-79500-P,23MAY26,2026-05-23 00:00:00+00:00,79500.00000000,put,77614.27000000,0.02050000,0.02650000,0.02350000,0.02465459,0.27680000,0.10000000,0.00000000,0.00219538,1779425122039
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-80000-C,23MAY26,2026-05-23 00:00:00+00:00,80000.00000000,call,77614.27000000,0.00020000,0.00030000,0.00025000,0.00024281,0.30100000,50.90000000,16.80000000,0.00219538,1779425122047
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-81000-C,23MAY26,2026-05-23 00:00:00+00:00,81000.00000000,call,77614.27000000,,0.00020000,,0.00008985,0.34410000,73.90000000,20.30000000,0.00219538,1779425122042
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-82000-C,23MAY26,2026-05-23 00:00:00+00:00,82000.00000000,call,77614.27000000,,0.00010000,,0.00002259,0.36540000,35.20000000,2.20000000,0.00219538,1779425122042
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-82000-P,23MAY26,2026-05-23 00:00:00+00:00,82000.00000000,put,77614.27000000,0.05250000,0.05850000,0.05550000,0.05647959,0.36540000,0.20000000,0.00000000,0.00219538,1779425122046
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-83000-C,23MAY26,2026-05-23 00:00:00+00:00,83000.00000000,call,77614.27000000,,0.00010000,,0.00001037,0.40630000,2.70000000,2.40000000,0.00219538,1779425122043
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-84000-C,23MAY26,2026-05-23 00:00:00+00:00,84000.00000000,call,77614.27000000,,0.00010000,,0.00000460,0.44160000,22.50000000,0.00000000,0.00219538,1779425122049
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-85000-C,23MAY26,2026-05-23 00:00:00+00:00,85000.00000000,call,77614.27000000,,0.00010000,,0.00000383,0.49520000,0.10000000,0.00000000,0.00219538,1779425122048
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-23MAY26-86000-C,23MAY26,2026-05-23 00:00:00+00:00,86000.00000000,call,77614.27000000,,0.00010000,,0.00000267,0.53960000,5.20000000,0.00000000,0.00219538,1779425122047
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-24MAY26-68000-P,24MAY26,2026-05-24 00:00:00+00:00,68000.00000000,put,77614.27000000,,0.00010000,,0.00001328,0.56850000,4.80000000,3.00000000,0.00493323,1779425122045
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-24MAY26-69000-P,24MAY26,2026-05-24 00:00:00+00:00,69000.00000000,put,77614.27000000,,0.00010000,,0.00001647,0.52020000,0.20000000,0.20000000,0.00493323,1779425122046
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-24MAY26-70000-P,24MAY26,2026-05-24 00:00:00+00:00,70000.00000000,put,77614.27000000,,0.00010000,,0.00002993,0.48820000,1.60000000,1.60000000,0.00493323,1779425122048
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-24MAY26-71000-P,24MAY26,2026-05-24 00:00:00+00:00,71000.00000000,put,77614.27000000,,0.00010000,,0.00004038,0.44040000,10.80000000,0.20000000,0.00493323,1779425122044
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-24MAY26-72000-P,24MAY26,2026-05-24 00:00:00+00:00,72000.00000000,put,77614.27000000,,0.00020000,,0.00007996,0.40850000,8.80000000,0.10000000,0.00493323,1779425122042
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-24MAY26-73000-P,24MAY26,2026-05-24 00:00:00+00:00,73000.00000000,put,77614.27000000,0.00020000,0.00030000,0.00025000,0.00021149,0.39070000,27.70000000,11.50000000,0.00493323,1779425122047
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-24MAY26-74000-P,24MAY26,2026-05-24 00:00:00+00:00,74000.00000000,put,77614.27000000,0.00030000,0.00040000,0.00035000,0.00031734,0.33800000,115.80000000,7.80000000,0.00493323,1779425122039
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-24MAY26-74500-P,24MAY26,2026-05-24 00:00:00+00:00,74500.00000000,put,77614.27000000,0.00040000,0.00060000,0.00050000,0.00047036,0.32120000,24.10000000,14.90000000,0.00493323,1779425122048
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-24MAY26-75000-P,24MAY26,2026-05-24 00:00:00+00:00,75000.00000000,put,77614.27000000,0.00050000,0.00080000,0.00065000,0.00063761,0.29750000,90.70000000,38.50000000,0.00493323,1779425122049
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-24MAY26-75500-P,24MAY26,2026-05-24 00:00:00+00:00,75500.00000000,put,77614.27000000,0.00080000,0.00110000,0.00095000,0.00098572,0.28130000,27.90000000,9.70000000,0.00493323,1779425122048
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-24MAY26-76000-P,24MAY26,2026-05-24 00:00:00+00:00,76000.00000000,put,77614.27000000,0.00140000,0.00170000,0.00155000,0.00156794,0.26690000,146.70000000,151.50000000,0.00493323,1779425122044
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-24MAY26-76500-P,24MAY26,2026-05-24 00:00:00+00:00,76500.00000000,put,77614.27000000,0.00240000,0.00270000,0.00255000,0.00253819,0.25470000,18.10000000,16.10000000,0.00493323,1779425122049
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-24MAY26-77000-C,24MAY26,2026-05-24 00:00:00+00:00,77000.00000000,call,77614.27000000,0.01150000,0.01300000,0.01225000,0.01213056,0.24400000,8.00000000,10.10000000,0.00493323,1779425122049
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-24MAY26-77000-P,24MAY26,2026-05-24 00:00:00+00:00,77000.00000000,put,77614.27000000,0.00390000,0.00430000,0.00410000,0.00407277,0.24400000,15.60000000,7.80000000,0.00493323,1779425122049
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-24MAY26-77500-C,24MAY26,2026-05-24 00:00:00+00:00,77500.00000000,call,77614.27000000,0.00750000,0.00850000,0.00800000,0.00806742,0.23710000,46.80000000,13.70000000,0.00493323,1779425122044
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-24MAY26-77500-P,24MAY26,2026-05-24 00:00:00+00:00,77500.00000000,put,77614.27000000,0.00600000,0.00700000,0.00650000,0.00645081,0.23710000,27.10000000,12.60000000,0.00493323,1779425122046
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-24MAY26-78000-C,24MAY26,2026-05-24 00:00:00+00:00,78000.00000000,call,77614.27000000,0.00460000,0.00500000,0.00480000,0.00497452,0.23310000,68.40000000,66.40000000,0.00493323,1779425122048
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-24MAY26-78000-P,24MAY26,2026-05-24 00:00:00+00:00,78000.00000000,put,77614.27000000,0.00900000,0.01050000,0.00975000,0.00979910,0.23310000,0.50000000,0.30000000,0.00493323,1779425122048
2026-05-22,2026-05-22 04:45:19.204848+00:00,BTC-24MAY26-78500-C,24MAY26,2026-05-24 00:00:00+00:00,78500.00000000,call,77614.27000000,0.00250000,0.00280000,0.00265000,0.00265446,0.22380000,19.20000000,21.10000000,0.00493323,1779425122045
