snapshot_date,snapshot_utc,instrument_name,expiry_code,maturity_date,strike,option_type,underlying_price,bid_price,ask_price,mid_price,mark_price,mark_iv,open_interest,volume_24h,time_to_expiry_years,creation_timestamp
2026-06-01,2026-06-01 05:16:47.567442+00:00,BTC-2JUN26-65000-P,2JUN26,2026-06-02 00:00:00+00:00,65000.00000000,put,73379.89000000,,0.00010000,,0.00001116,0.71560000,2.60000000,0.00000000,0.00213554,1780291005244
2026-06-01,2026-06-01 05:16:47.567442+00:00,BTC-2JUN26-66000-P,2JUN26,2026-06-02 00:00:00+00:00,66000.00000000,put,73379.89000000,,0.00010000,,0.00004213,0.71550000,8.20000000,5.50000000,0.00213554,1780291005243
2026-06-01,2026-06-01 05:16:47.567442+00:00,BTC-2JUN26-67000-P,2JUN26,2026-06-02 00:00:00+00:00,67000.00000000,put,73379.89000000,,0.00010000,,0.00005006,0.63490000,52.90000000,9.40000000,0.00213554,1780291005244
2026-06-01,2026-06-01 05:16:47.567442+00:00,BTC-2JUN26-68000-P,2JUN26,2026-06-02 00:00:00+00:00,68000.00000000,put,73379.89000000,,0.00020000,,0.00007362,0.56610000,35.60000000,21.10000000,0.00213554,1780291005244
2026-06-01,2026-06-01 05:16:47.567442+00:00,BTC-2JUN26-71000-P,2JUN26,2026-06-02 00:00:00+00:00,71000.00000000,put,73379.89000000,0.00070000,0.00090000,0.00080000,0.00086651,0.42830000,49.60000000,43.30000000,0.00213554,1780291005243
2026-06-01,2026-06-01 05:16:47.567442+00:00,BTC-2JUN26-71500-C,2JUN26,2026-06-02 00:00:00+00:00,71500.00000000,call,73379.89000000,0.02550000,0.02900000,0.02725000,0.02698013,0.40820000,5.00000000,0.00000000,0.00213554,1780291005241
2026-06-01,2026-06-01 05:16:47.567442+00:00,BTC-2JUN26-71500-P,2JUN26,2026-06-02 00:00:00+00:00,71500.00000000,put,73379.89000000,0.00120000,0.00150000,0.00135000,0.00138065,0.40820000,40.90000000,35.90000000,0.00213554,1780291005241
2026-06-01,2026-06-01 05:16:47.567442+00:00,BTC-2JUN26-72000-P,2JUN26,2026-06-02 00:00:00+00:00,72000.00000000,put,73379.89000000,0.00200000,0.00230000,0.00215000,0.00217259,0.38680000,260.80000000,10.90000000,0.00213554,1780291005238
2026-06-01,2026-06-01 05:16:47.567442+00:00,BTC-2JUN26-72500-C,2JUN26,2026-06-02 00:00:00+00:00,72500.00000000,call,73379.89000000,0.01350000,0.01850000,0.01600000,0.01535764,0.36460000,2.30000000,0.00000000,0.00213554,1780291005239
2026-06-01,2026-06-01 05:16:47.567442+00:00,BTC-2JUN26-72500-P,2JUN26,2026-06-02 00:00:00+00:00,72500.00000000,put,73379.89000000,0.00310000,0.00350000,0.00330000,0.00338614,0.36460000,45.70000000,2.60000000,0.00213554,1780291005239
