snapshot_date,snapshot_utc,instrument_name,expiry_code,maturity_date,strike,option_type,underlying_price,bid_price,ask_price,mid_price,mark_price,mark_iv,open_interest,volume_24h,time_to_expiry_years,creation_timestamp
2026-05-29,2026-05-29 06:59:53.568026+00:00,BTC-30MAY26-67000-P,30MAY26,2026-05-30 00:00:00+00:00,67000.00000000,put,73689.76000000,,0.00010000,,0.00002488,0.63740000,18.70000000,19.50000000,0.00193951,1780037993560
2026-05-29,2026-05-29 06:59:53.568026+00:00,BTC-30MAY26-68000-P,30MAY26,2026-05-30 00:00:00+00:00,68000.00000000,put,73689.76000000,,0.00020000,,0.00008304,0.62360000,50.90000000,27.70000000,0.00193951,1780037993566
2026-05-29,2026-05-29 06:59:53.568026+00:00,BTC-30MAY26-69000-C,30MAY26,2026-05-30 00:00:00+00:00,69000.00000000,call,73689.76000000,0.05950000,0.09100000,0.07525000,0.06391801,0.57700000,0.70000000,0.70000000,0.00193951,1780037993560
2026-05-29,2026-05-29 06:59:53.568026+00:00,BTC-30MAY26-71000-C,30MAY26,2026-05-30 00:00:00+00:00,71000.00000000,call,73689.76000000,0.03650000,0.03800000,0.03725000,0.03715513,0.43930000,72.20000000,150.00000000,0.00193951,1780037993560
2026-05-29,2026-05-29 06:59:53.568026+00:00,BTC-30MAY26-71000-P,30MAY26,2026-05-30 00:00:00+00:00,71000.00000000,put,73689.76000000,0.00050000,0.00060000,0.00055000,0.00054907,0.43930000,392.80000000,426.30000000,0.00193951,1780037993566
2026-05-29,2026-05-29 06:59:53.568026+00:00,BTC-30MAY26-71500-P,30MAY26,2026-05-30 00:00:00+00:00,71500.00000000,put,73689.76000000,0.00070000,0.00090000,0.00080000,0.00079139,0.40610000,25.50000000,30.60000000,0.00193951,1780037993560
2026-05-29,2026-05-29 06:59:53.568026+00:00,BTC-30MAY26-72000-C,30MAY26,2026-05-30 00:00:00+00:00,72000.00000000,call,73689.76000000,0.02100000,0.02650000,0.02375000,0.02425420,0.37690000,0.70000000,0.90000000,0.00193951,1780037993564
2026-05-29,2026-05-29 06:59:53.568026+00:00,BTC-30MAY26-72000-P,30MAY26,2026-05-30 00:00:00+00:00,72000.00000000,put,73689.76000000,0.00110000,0.00140000,0.00125000,0.00121708,0.37690000,102.70000000,101.80000000,0.00193951,1780037993566
2026-05-29,2026-05-29 06:59:53.568026+00:00,BTC-30MAY26-72500-C,30MAY26,2026-05-30 00:00:00+00:00,72500.00000000,call,73689.76000000,0.01700000,0.02000000,0.01850000,0.01823257,0.35250000,29.70000000,38.60000000,0.00193951,1780037993564
2026-05-29,2026-05-29 06:59:53.568026+00:00,BTC-30MAY26-72500-P,30MAY26,2026-05-30 00:00:00+00:00,72500.00000000,put,73689.76000000,0.00180000,0.00210000,0.00195000,0.00197991,0.35250000,58.10000000,53.50000000,0.00193951,1780037993559
2026-05-29,2026-05-29 06:59:53.568026+00:00,BTC-30MAY26-73000-C,30MAY26,2026-05-30 00:00:00+00:00,73000.00000000,call,73689.76000000,0.01200000,0.01300000,0.01250000,0.01274763,0.33100000,9.80000000,13.70000000,0.00193951,1780037993563
2026-05-29,2026-05-29 06:59:53.568026+00:00,BTC-30MAY26-73000-P,30MAY26,2026-05-30 00:00:00+00:00,73000.00000000,put,73689.76000000,0.00310000,0.00350000,0.00330000,0.00327944,0.33100000,64.70000000,38.20000000,0.00193951,1780037993560
2026-05-29,2026-05-29 06:59:53.568026+00:00,BTC-30MAY26-73500-C,30MAY26,2026-05-30 00:00:00+00:00,73500.00000000,call,73689.76000000,0.00800000,0.00850000,0.00825000,0.00814912,0.31580000,13.90000000,12.80000000,0.00193951,1780037993564
2026-05-29,2026-05-29 06:59:53.568026+00:00,BTC-30MAY26-73500-P,30MAY26,2026-05-30 00:00:00+00:00,73500.00000000,put,73689.76000000,0.00500000,0.00600000,0.00550000,0.00546539,0.31580000,38.10000000,37.10000000,0.00193951,1780037993564
2026-05-29,2026-05-29 06:59:53.568026+00:00,BTC-30MAY26-74000-C,30MAY26,2026-05-30 00:00:00+00:00,74000.00000000,call,73689.76000000,0.00450000,0.00490000,0.00470000,0.00467225,0.30520000,75.40000000,64.10000000,0.00193951,1780037993559
2026-05-29,2026-05-29 06:59:53.568026+00:00,BTC-30MAY26-74000-P,30MAY26,2026-05-30 00:00:00+00:00,74000.00000000,put,73689.76000000,0.00850000,0.00950000,0.00900000,0.00877299,0.30520000,40.00000000,16.90000000,0.00193951,1780037993564
2026-05-29,2026-05-29 06:59:53.568026+00:00,BTC-30MAY26-74500-C,30MAY26,2026-05-30 00:00:00+00:00,74500.00000000,call,73689.76000000,0.00230000,0.00270000,0.00250000,0.00248965,0.30530000,52.80000000,42.10000000,0.00193951,1780037993567
