snapshot_date,snapshot_utc,instrument_name,expiry_code,maturity_date,strike,option_type,underlying_price,bid_price,ask_price,mid_price,mark_price,mark_iv,open_interest,volume_24h,time_to_expiry_years,creation_timestamp
2026-05-21,2026-05-21 12:42:23.068939+00:00,BTC-22MAY26-65000-C,22MAY26,2026-05-22 00:00:00+00:00,65000.00000000,call,77182.21000000,0.15500000,0.16100000,0.15800000,0.15783593,0.72150000,0.60000000,0.00000000,0.00128834,1779367342014
2026-05-21,2026-05-21 12:42:23.068939+00:00,BTC-22MAY26-65000-P,22MAY26,2026-05-22 00:00:00+00:00,65000.00000000,put,77181.90000000,,0.00010000,,0.00000000,0.72150000,221.20000000,0.00000000,0.00128834,1779367342017
2026-05-21,2026-05-21 12:42:23.068939+00:00,BTC-22MAY26-68000-C,22MAY26,2026-05-22 00:00:00+00:00,68000.00000000,call,77182.21000000,0.11650000,0.12250000,0.11950000,0.11896686,0.62160000,0.10000000,0.00000000,0.00128834,1779367342017
2026-05-21,2026-05-21 12:42:23.068939+00:00,BTC-22MAY26-68000-P,22MAY26,2026-05-22 00:00:00+00:00,68000.00000000,put,77182.21000000,,0.00010000,,0.00000004,0.62160000,192.20000000,0.00000000,0.00128834,1779367342014
2026-05-21,2026-05-21 12:42:23.068939+00:00,BTC-22MAY26-70000-C,22MAY26,2026-05-22 00:00:00+00:00,70000.00000000,call,77181.90000000,0.09050000,0.09650000,0.09350000,0.09305511,0.57900000,0.60000000,0.20000000,0.00128834,1779367342012
2026-05-21,2026-05-21 12:42:23.068939+00:00,BTC-22MAY26-70000-P,22MAY26,2026-05-22 00:00:00+00:00,70000.00000000,put,77181.90000000,,0.00010000,,0.00000104,0.57900000,1328.70000000,5.20000000,0.00128834,1779367342018
2026-05-21,2026-05-21 12:42:23.068939+00:00,BTC-22MAY26-71000-P,22MAY26,2026-05-22 00:00:00+00:00,71000.00000000,put,77181.90000000,,0.00010000,,0.00000739,0.57700000,671.90000000,6.10000000,0.00128834,1779367342014
2026-05-21,2026-05-21 12:42:23.068939+00:00,BTC-22MAY26-72000-C,22MAY26,2026-05-22 00:00:00+00:00,72000.00000000,call,77182.21000000,0.06600000,0.06850000,0.06725000,0.06717580,0.56390000,19.30000000,0.20000000,0.00128834,1779367342013
2026-05-21,2026-05-21 12:42:23.068939+00:00,BTC-22MAY26-72000-P,22MAY26,2026-05-22 00:00:00+00:00,72000.00000000,put,77182.21000000,,0.00010000,,0.00003446,0.56390000,359.30000000,10.50000000,0.00128834,1779367342015
2026-05-21,2026-05-21 12:42:23.068939+00:00,BTC-22MAY26-73000-C,22MAY26,2026-05-22 00:00:00+00:00,73000.00000000,call,77182.21000000,0.05300000,0.05550000,0.05425000,0.05425345,0.50120000,5.00000000,4.40000000,0.00128834,1779367342014
